医院简介,医院类别,id_number,医院名称,医院等级,单位地址,邮    编,所属区县
<br>,对外专科,14155003,北京皇城股骨头坏死专科医院,二级,北京市昌平区西关路27号, ,昌平区
<br>,对外专科,14155002,北京昌平圣济骨伤医院,一级,北京市昌平区沙河镇踩河新村513号, ,昌平区
<br>,对外综合,14155001,北京市东小口社区卫生服务中心北京市昌平区东小口镇卫生院,一级,北京市昌平区东小口镇陈营村北, ,昌平区
<br>,对外专科,14154001,北京市昌平区结核病防治所,一级,昌平区昌平镇八街, ,昌平区
<br>,对外专科,14153002,北京民康医院（精神病、老年病专科）,二级,昌平区沙河镇, ,昌平区
<br>,对外专科,14153001,北京回龙观医院（精神病专科）,三级,北京市昌平区回龙观镇、北京东城区安定门内车撵店胡同甲35号、西城区月坛南街1号首尔所专家门诊楼四层, ,昌平区
<br>,对外专科,14152001,北京市昌平区妇幼保健院,二级,北京市昌平区北环路1号 , ,昌平区
<br>,对外专科,14153003,北京市昌平区精神卫生保健院,二级,北京市昌平区南口镇东大街22号, ,昌平区
<br>,社区卫生站,14162005,北京市昌平区城区园区社区卫生服务站,未评级,北京市昌平区龙山锦园小区4号楼109号, ,昌平区
<br>,对外中医,14162004,北京昌平普德中医药研究所西环里门诊部,未评级,北京市昌平区昌平镇静心苑8号楼西环里底商3号、4号、5号, ,昌平区
<br>,社区卫生站,14162003,北京市昌平区城区东关南里社区卫生服务站,未评级,昌平区昌平镇东关南里小区26号楼1—3层商业, ,昌平区
<br>,社区卫生站,14162002,北京市昌平区城区永安社区卫生服务站,未评级,北京市昌平区城区永安里小区, ,昌平区
<br>,社区卫生站,14162001,北京市昌平区城区畅椿阁社区卫生服务站,未评级,北京市昌平区龙水路38号院6号楼首层101号、105号、106号, ,昌平区
<br>,社区卫生站,14162008,北京市昌平区城区郝庄社区卫生服务站,未评级,北京市昌平区郝庄家园东区, ,昌平区
<br>,社区卫生站,14162007,北京市昌平区城区二街社区卫生服务站,未评级,北京市昌平区昌平镇雅馨家园14号楼1至2层, ,昌平区
<br>,社区卫生站,14162006,北京市昌平区城区西关社区卫生服务站,未评级,北京市昌平区城角西路红冶宿舍楼北侧西关村委会, ,昌平区
<br>,对外专科,14155008,北京昌平区光明骨伤医院,一级,北京市昌平城南街道南大街东巷（机关幼儿园西侧）, ,昌平区
<br>,社区卫生站,14162009,北京市昌平区城区宁馨苑社区卫生服务站,未评级,北京市昌平区昌平镇宁馨苑13号楼1至2层商6, ,昌平区
<br>,社区卫生站,14162013,北京市昌平区回龙观社区卫生服务中心融泽嘉园社区卫生服务站,未评级,北京市昌平区回龙观龙域东一路8号院1号楼, ,昌平区
<br>,社区卫生站,14162016,北京市昌平区回龙观社区卫生服务中心东村家园社区卫生服务站,未评级,北京市昌平区回龙观镇东村家园东门, ,昌平区
<br>,社区卫生站,14162012,北京市昌平区回龙观社区卫生服务中心云趣园三区社区卫生服务站,未评级,北京市昌平区回龙观镇云趣园三区11号楼, ,昌平区
<br>,社区卫生站,14162011,北京市昌平区回龙观社区卫生服务中心龙华园社区卫生服务站,未评级,北京市昌平区回龙观龙华园一区1号楼1单元161室, ,昌平区
<br>,社区卫生站,14162010,北京市昌平区城区八街社区卫生服务站,未评级,北京市昌平区城区西环路16号, ,昌平区
<br>,对外综合,21110113,北京市第二社会福利院附属医院,一级,昌平区北七家镇曹八西路26号, ,昌平区
<br>,对外综合,21110097,北京市昌平区南口社区卫生服务中心,一级,北京市昌平区南口镇兴隆街3号, ,昌平区
<br>,对外综合,21110096,北京上善医院,一级,北京市昌平区东小口镇中滩村东4号, ,昌平区
<br>,社区卫生站,21110093,北京市昌平区城北街道朝凤社区卫生服务站,未评级,北京市昌平区朝凤庵村, ,昌平区
<br>,对外综合,21110092,北京市昌平区城区社区卫生服务中心,一级,北京市昌平区城北街道南环里53号, ,昌平区
<br>,对外中医,21110070,北京市昌平区沙河中西医结合医院,一级,北京市昌平区沙河镇巩华城大街42号, ,昌平区
<br>,对外综合,21110069,北京中联燕龙医院,一级,北京市昌平区西关三角地综合楼12号, ,昌平区
<br>,对外中医,21110057,北京王府中西医结合医院,三级,北京市昌平区北七家镇王府街1号, ,昌平区
<br>,对内,21100111,北京市昌平歇甲田园风光养老院医务室,未评级,昌平区北七家镇歇甲村5号, ,昌平区
<br>,对内,21100110,北京汇晨老年公寓医务室,未评级,北京市昌平区北七家镇八仙庄北京汇晨老年公寓, ,昌平区
<br>,社区卫生站,14162020,北京市昌平区城北街道一街社区卫生服务站,未评级,北京市昌平区昌平镇石坊院5号楼2单元一层, ,昌平区
<br>,社区卫生站,14162017,北京市昌平区回龙观社区卫生服务中心风雅园社区卫生服务站,未评级,北京市昌平区回龙观镇风雅园一区18号楼, ,昌平区
<br>,社区卫生站,14162015,北京市昌平区回龙观社区卫生服务中心北店嘉园社区卫生服务站,未评级,北京市昌平区回龙观镇北店嘉园底商1号, ,昌平区
<br>,社区卫生站,14162014,北京市昌平区回龙观社区卫生服务中心二拨子社区卫生服务站,未评级,北京市昌平区回龙观镇二拨子新村村委会西侧, ,昌平区
<br>,对外综合,21110115,北京城北龙城医院,一级,北京市昌平区回龙观镇金榜园小区酒楼, ,昌平区
<br>,社区卫生站,21162040,北京市昌平区北七家社区卫生服务中心平西府社区卫生服务站,未评级,北京市昌平区北七家镇白庙村, ,昌平区
<br>,社区卫生站,21162039,北京市昌平区北七家社区卫生服务中心羊各庄社区卫生服务站,未评级,北京市昌平区北七家镇羊各庄新村22号楼8单元101、102室, ,昌平区
<br>,对外专科,21159072,北京汉章针刀医院,一级,北京市昌平区天通苑西三区26号楼16门, ,昌平区
<br>,对外专科,21159071,北京昌平京北新世纪妇科医院,一级,北京市昌平区永安路18-1、18-2、18-3、18-4、18-5号, ,昌平区
<br>,对外中医,21151112,北京长城中医医院,一级,北京市昌平区回龙观风雅园二区3号楼, ,昌平区
<br>,对外中医,21151073,北京大卫中医医院,二级,北京市昌平区沙河镇满井村, ,昌平区
<br>,对内,21111056,北京市昌平区十三陵温馨老年公寓门诊部,未评级,北京市昌平区十三陵镇南新村向东800米处, ,昌平区
<br>,对外综合,21110131,北京大学国际医院,三级,北京市昌平区中关村生命科学园生命园路1号, ,昌平区
<br>,对外综合,21110130,北京清华长庚医院,三级,北京市昌平区立汤路168号, ,昌平区
<br>,对外综合,21110118,北京市昌平区博仁医院,一级,北京市昌平区水南路6号楼, ,昌平区
<br>,对外综合,21110116,北京九华医院,一级,北京市昌平区小汤山镇葫芦河村北, ,昌平区
<br>,社区卫生站,21162049,北京市昌平区沙河社区卫生服务中心松兰堡社区卫生服务站,未评级,北京市昌平区沙河镇松兰堡, ,昌平区
<br>,社区卫生站,21162046,北京市昌平区回龙观社区卫生服务中心龙跃苑社区卫生服务站,未评级,北京市昌平区回龙观镇龙跃苑三区底商2号, ,昌平区
<br>,社区卫生站,21162045,北京市昌平区回龙观社区卫生服务中心通达园社区卫生服务站,未评级,北京市昌平区回龙观镇通达园小区居委会, ,昌平区
<br>,社区卫生站,21162044,北京市昌平区回龙观社区卫生服务中心昌艺园社区卫生服务站,未评级,北京市昌平区回龙观镇昌艺园小区, ,昌平区
<br>,社区卫生站,21162047,北京市昌平区回龙观社区卫生服务中心龙博苑社区卫生服务站,未评级,北京市昌平区回龙观镇龙博苑二区底商5、6号, ,昌平区
<br>,社区卫生站,21162043,北京市昌平区北七家社区卫生服务中心温泉花园社区卫生服务站,未评级,北京市昌平区北七家镇温泉花园小区A区6号楼, ,昌平区
<br>,社区卫生站,21162042,北京市昌平区北七家社区卫生服务中心名佳花园社区卫生服务站,未评级,北京市昌平区北七家镇名佳花园小区1号楼412室、511室, ,昌平区
<br>,社区卫生站,21162041,北京市昌平区北七家社区卫生服务中心东沙社区卫生服务站,未评级,北京市昌平区北七家镇东沙各庄村委会院内, ,昌平区
<br>,社区卫生站,21162050,北京市昌平区回龙观社区卫生服务中心龙腾苑四区社区卫生服务站,未评级,北京市昌平区回龙观镇龙腾苑四区底商4、5号, ,昌平区
<br>,社区卫生站,21162064,北京市昌平区东小口社区卫生服务中心天通苑二区社区卫生服务站,未评级,北京市昌平区东小口镇天通苑二区14号楼2门, ,昌平区
<br>,社区卫生站,21162063,北京市昌平区东小口社区卫生服务中心天通西苑社区卫生服务站,未评级,北京市昌平区东小口镇天通西苑一区42号楼, ,昌平区
<br>,社区卫生站,21162062,北京市昌平区东小口社区卫生服务中心天通苑东二区社区卫生服务站,未评级,北京市昌平区东小口镇天通苑东二区19号楼10门, ,昌平区
<br>,社区卫生站,21162061,北京市昌平区东小口社区卫生服务中心天通苑北一区社区卫生服务站,未评级,北京市昌平区东小口镇天通苑北一区13号楼, ,昌平区
<br>,社区卫生站,21162060,北京市昌平区东小口社区卫生服务中心天通苑西二区社区卫生服务站,未评级,北京市昌平区东小口镇天通苑西二区12号楼, ,昌平区
<br>,社区卫生站,21162059,北京市昌平区东小口社区卫生服务中心九台都市社区卫生服务站,未评级,北京市昌平区东小口镇九台庄园居委会北侧, ,昌平区
<br>,社区卫生站,21162058,北京市昌平区东小口社区卫生服务中心天通苑北三区社区卫生服务站,未评级,北京市昌平区东小口镇天通苑北三区6号楼2单元102号, ,昌平区
<br>,社区卫生站,21162055,北京市昌平区回龙观社区卫生服务中心北京人家社区卫生服务站,未评级,北京市昌平区回龙观镇北京人家1号楼1门101、102室, ,昌平区
<br>,社区卫生站,21162054,北京市昌平区回龙观社区卫生服务中心回龙观村社区卫生服务站,未评级,北京市昌平区回龙观镇回龙观村中区办公楼西楼一层, ,昌平区
<br>,社区卫生站,21162053,北京市昌平区小汤山社区卫生服务中心土沟新村家园社区卫生服务站,未评级,北京市昌平区小汤山镇土沟新村家园34号楼村民中心二层, ,昌平区
<br>,社区卫生站,21162052,北京市昌平区小汤山社区卫生服务中心后吝沟社区卫生服务站,未评级,北京市昌平区小汤山镇后吝沟村, ,昌平区
<br>,社区卫生站,21162051,北京市昌平区回龙观社区卫生服务中心南店社区卫生服务站,未评级,北京市昌平区回龙观镇南店村委会东侧, ,昌平区
<br>,社区卫生站,21162076,北京市昌平区阳坊社区卫生服务中心辛庄社区卫生服务站,未评级,北京市昌平区阳坊镇辛庄村, ,昌平区
<br>,社区卫生站,21162075,北京市昌平区南邵社区卫生服务中心营坊社区卫生服务站,未评级,北京市昌平区南邵镇营坊村, ,昌平区
<br>,社区卫生站,21162074,北京市昌平区南邵社区卫生服务中心姜屯社区卫生服务站,未评级,北京市昌平区南邵镇姜屯村, ,昌平区
<br>,社区卫生站,21162068,北京市昌平区东小口社区卫生服务中心流星花园社区卫生服务站,未评级,北京市昌平区东小口镇流星花园9号楼, ,昌平区
<br>,社区卫生站,21162067,北京市昌平区东小口社区卫生服务中心天通苑西三区社区卫生服务站,未评级,北京市昌平区东小口镇天通苑西三区26号楼7门, ,昌平区
<br>,社区卫生站,21162066,北京市昌平区东小口社区卫生服务中心天通苑东三区社区卫生服务站,未评级,北京市昌平区东小口镇天通苑东三区36号楼2门, ,昌平区
<br>,社区卫生站,21162065,北京市昌平区东小口社区卫生服务中心天通苑三区社区卫生服务站,未评级,北京市昌平区东小口镇天通苑三区5号楼, ,昌平区
<br>,社区卫生站,21162077,北京市昌平区阳坊社区卫生服务中心西马坊社区卫生服务站,未评级,北京市昌平区阳坊镇西马坊村, ,昌平区
<br>,社区卫生站,21162084,北京市昌平区流村社区卫生服务中心老峪沟社区卫生服务站,未评级,北京市昌平区流村镇老峪沟村, ,昌平区
<br>,社区卫生站,21162083,北京市昌平区流村社区卫生服务中心新村社区卫生服务站,未评级,北京市昌平区流村镇新建村, ,昌平区
<br>,社区卫生站,21162081,北京市昌平区小汤山社区卫生服务中心西官庄社区卫生服务站,未评级,北京市昌平区小汤山镇西官庄村, ,昌平区
<br>,社区卫生站,21162080,北京市昌平区小汤山社区卫生服务中心龙脉温泉花园小区社区卫生服务站,未评级,北京市昌平小汤山龙脉花园21号楼6门底商, ,昌平区
<br>,社区卫生站,21162079,北京市昌平区小汤山社区卫生服务中心葫芦河社区卫生服务站,未评级,北京市昌平区小汤山镇葫芦河村北, ,昌平区
<br>,社区卫生站,21162082,北京市昌平区延寿社区卫生服务中心黑山寨社区卫生服务站,未评级,北京市昌平区延寿镇黑山寨村, ,昌平区
<br>,社区卫生站,21162078,北京市昌平区阳坊社区卫生服务中心东贯市社区卫生服务站,未评级,北京市昌平区阳坊镇东贯市村, ,昌平区
<br>,社区卫生站,21162088,北京市昌平区沙河社区卫生服务中心沙阳路社区卫生服务站,未评级,北京市昌平区沙河镇沙阳路, ,昌平区
<br>,社区卫生站,21162087,北京市昌平区沙河社区卫生服务中心五福家园社区卫生服务站,未评级,北京市昌平区沙河镇五福家园, ,昌平区
<br>,社区卫生站,21162086,北京市昌平区沙河社区卫生服务中心踩河社区卫生服务站,未评级,北京市昌平区沙河镇踩河村, ,昌平区
<br>,社区卫生站,21162085,北京市昌平区沙河社区卫生服务中心老牛湾社区卫生服务站,未评级,北京市昌平区沙河镇老牛湾村, ,昌平区
<br>,社区卫生站,21162100,北京市昌平区流村社区卫生服务中心南流村社区卫生服务站,未评级,北京市昌平区流村镇南流村, ,昌平区
<br>,社区卫生站,21162099,北京市昌平区回龙观社区卫生服务中心龙城花园社区卫生服务站,未评级,北京市昌平区回龙观龙城花园小区综合楼1层, ,昌平区
<br>,社区卫生站,21162098,北京市昌平区南口镇第一社区卫生服务站,未评级,北京市昌平区南口镇东升街44号, ,昌平区
<br>,社区卫生站,21162095,北京市昌平区城南街道水屯社区卫生服务站,未评级,北京市昌平区城南街道水屯村, ,昌平区
<br>,社区卫生站,21162094,北京市昌平区城南街道拓然家苑社区卫生服务站,未评级,北京市昌平区城南街道拓然家苑, ,昌平区
<br>,社区卫生站,21162091,北京市昌平区百善社区卫生服务中心上东廓社区卫生服务站,未评级,北京市昌平区百善镇上东廓村, ,昌平区
<br>,社区卫生站,21162090,北京市昌平区百善社区卫生服务中心狮子营社区卫生服务站,未评级,北京市昌平区百善镇狮子营村, ,昌平区
<br>,社区卫生站,21162089,北京市昌平区百善社区卫生服务中心孟祖社区卫生服务站,未评级,北京市昌平区百善镇孟祖村, ,昌平区
<br>,对外中医,29151001,北京中医医院延庆医院（北京市延庆区中医医院）,二级,北京市延庆区新城街11号, ,延庆区
<br>,社区卫生站,29162012,北京市延庆区南菜园社区卫生服务中心川北小区社区卫生服务站,未评级,北京市延庆区川北小区, ,延庆区
<br>,社区卫生站,29162011,北京市延庆区南菜园社区卫生服务中心双路小区社区卫生服务站,未评级,北京市延庆区双路小区, ,延庆区
<br>,社区卫生站,29162010,北京市延庆区康安社区卫生服务站,未评级,北京市延庆区延庆镇东街26号4幢1至3层全部, ,延庆区
<br>,对外综合,29161001,北京市延庆区南菜园社区卫生服务中心,未评级,北京市延庆区妫水南街0号, ,延庆区
<br>,对外专科,29154001,北京市延庆区结核病防治所,一级,北京市延庆区延庆镇药王庙街20号, ,延庆区
<br>,对外专科,29153001,北京市延庆区精神病医院（北京市延庆区精神卫生防治院）,二级,北京市延庆区张山营镇张山营村, ,延庆区
<br>,对外专科,29152001,北京市延庆区妇幼保健院,二级,北京市延庆区延庆镇庆园街8号, ,延庆区
<br>,社区卫生站,21162102,北京市昌平区小汤山社区卫生服务中心尚信社区卫生服务站,未评级,北京市昌平区小汤山镇尚信村, ,昌平区
<br>,社区卫生站,21162101,北京市昌平区流村社区卫生服务中心西峰山社区卫生服务站,未评级,北京市昌平区流村镇西峰山村, ,昌平区
<br>,社区卫生站,31162002,北京经济技术开发区天宝园五里一区社区卫生服务站,未评级,北京经济技术开发区天宝园五里一区, ,经济技术开发区
<br>,社区卫生站,21162105,北京市昌平区延寿社区卫生服务中心慈悲峪社区卫生服务站,未评级,北京市昌平区延寿镇慈悲峪村, ,昌平区
<br>,社区卫生站,21162104,北京市昌平区兴寿社区卫生服务中心东营社区卫生服务站,未评级,北京市昌平区兴寿镇东营村, ,昌平区
<br>,社区卫生站,21162103,北京市昌平区兴寿社区卫生服务中心香屯社区卫生服务站,未评级,北京市昌平区兴寿镇香屯村, ,昌平区
<br>,社区卫生站,31162001,北京经济技术开发区林肯公园社区卫生服务站,未评级,北京经济技术开发区文化园西路8号院21号楼102室, ,经济技术开发区
<br>,对外专科,31159004,国家康复辅具研究中心附属康复医院,二级,北京经济技术开发区荣华中路一号, ,经济技术开发区
<br>,对外专科,31156003,北京振国中西医结合肿瘤医院,一级,北京亦庄经济技术开发区西环南路6号, ,经济技术开发区
<br>,对外综合,31110006,北京军海医院,一级,北京市大兴区北京经济技术开发区经海路三路3号1幢, ,经济技术开发区
<br>,社区卫生站,29162014,北京市延庆区南菜园社区卫生服务中心新兴小区社区卫生服务站,未评级,北京市延庆区新兴小区３３号楼１０１室, ,延庆区
<br>,社区卫生站,29162013,北京市延庆区南菜园社区卫生服务中心南菜园二区社区卫生服务站,未评级,北京市延庆区南菜园二区３２号楼２号商铺, ,延庆区
<br>,社区卫生站,21162109,北京市昌平区十三陵社区卫生服务中心北新村社区卫生服务站,未评级,北京市昌平区十三陵镇北新村, ,昌平区
<br>,对外综合,22110084,北京顺欣阳光医院,一级,顺义东方太阳城万晴园104楼, ,顺义区
<br>,对内,22100075,北京市顺义区社区服务总中心（老年公寓）医务室,未评级,北京市顺义区石园北区, ,顺义区
<br>,社区卫生站,21162129,北京市昌平区兴寿社区卫生服务中心秦城社区卫生服务站,未评级,北京市昌平区兴寿镇秦城村, ,昌平区
<br>,社区卫生站,21162128,北京市昌平区沙河社区卫生服务中心北街家园社区卫生服务站,未评级,北京市昌平区沙河高教园区北街家园六区5号楼105.106.107.108号, ,昌平区
<br>,社区卫生站,21162127,北京市昌平区马池口社区卫生服务中心丈头社区卫生服务站,未评级,北京市昌平区马池口镇丈头村, ,昌平区
<br>,社区卫生站,21162126,北京市昌平区马池口社区卫生服务中心土楼社区卫生服务站,未评级,北京市昌平区马池口镇土楼村, ,昌平区
<br>,社区卫生站,21162125,北京市昌平区马池口社区卫生服务中心横桥社区卫生服务站,未评级,北京市昌平区马池口镇横桥村, ,昌平区
<br>,社区卫生站,21162124,北京市昌平区东小口社区卫生服务中心溪城家园社区卫生服务站,未评级,北京市昌平区东小口镇陈家营西路1号院5号楼, ,昌平区
<br>,社区卫生站,21162123,北京市昌平区东小口社区卫生服务中心上坡佳园社区卫生服务站,未评级,北京市昌平区东小口镇黄平路202号院7号楼底商, ,昌平区
<br>,社区卫生站,22162028,北京市顺义区李桥镇社区卫生服务中心李桥社区卫生服务站,未评级,北京市顺义区李桥镇李桥村, ,顺义区
<br>,社区卫生站,22162027,北京市顺义区李桥镇社区卫生服务中心半壁店社区卫生服务站,未评级,北京市顺义区李桥镇半壁店村西二街147号, ,顺义区
<br>,社区卫生站,22162025,北京市顺义区第二医院东疃社区卫生服务站,未评级,北京市顺义区杨镇东疃村, ,顺义区
<br>,社区卫生站,22162029,北京市顺义区北小营镇社区卫生服务中心仇家店社区卫生服务站,未评级,北京市顺义区北小营镇仇家店村, ,顺义区
<br>,社区卫生站,22162024,北京市顺义区第二医院安乐庄社区卫生服务站,未评级,北京市顺义区杨镇安乐庄村, ,顺义区
<br>,社区卫生站,22162023,北京市顺义区北小营镇社区卫生服务中心东府社区卫生服务站,未评级,北京市顺义区北小营镇东府村, ,顺义区
<br>,社区卫生站,21162122,北京市昌平区崔村社区卫生服务中心香堂社区卫生服务站,未评级,北京市昌平区崔村镇香堂村, ,昌平区
<br>,社区卫生站,21162121,北京市昌平区崔村社区卫生服务中心大辛峰社区卫生服务站,未评级,北京市昌平区崔村镇大辛峰村, ,昌平区
<br>,社区卫生站,21162120,北京市昌平区北七家社区卫生服务中心宏福苑社区卫生服务站,未评级,北京温都水城旅游饭店管理有限公司金手杖会所一层（北侧底商门面房）, ,昌平区
<br>,社区卫生站,21162119,北京交通职业技术学院社区卫生服务站,未评级,北京市昌平区邓庄村东北京交通职业技术学院5号楼1层, ,昌平区
<br>,社区卫生站,22162030,顺义区北小营镇卫生院后鲁社区卫生服务站,未评级,顺义区北小营镇后鲁村, ,顺义区
<br>,社区卫生站,22162049,北京市顺义区空港医院泗上社区卫生服务站,未评级,顺义区后沙峪镇泗上村, ,顺义区
<br>,社区卫生站,22162048,北京市顺义区空港医院空港工业区社区卫生服务站,未评级,北京市顺义区空港工业区A区天纬路四街12号, ,顺义区
<br>,社区卫生站,22162047,北京市顺义区城区社区卫生服务中心宏城花园社区卫生服务站,未评级,北京市顺义区宏城花园7号-2单元-102, ,顺义区
<br>,社区卫生站,22162046,北京市顺义区城区社区卫生服务中心龙府社区卫生服务站,未评级,北京市顺义区龙府11号楼101, ,顺义区
<br>,社区卫生站,22162044,北京市顺义区南法信镇卫生院南卷社区卫生服务站,未评级,北京市顺义区南法信镇南卷村, ,顺义区
<br>,社区卫生站,22162042,北京市顺义区南法信镇卫生院刘家河社区卫生服务站,未评级,北京市顺义区港馨东区15号楼9门101室, ,顺义区
<br>,社区卫生站,22162041,北京市顺义区南法信镇卫生院北法信社区卫生服务站,未评级,北京市顺义区南法信镇北法信村, ,顺义区
<br>,社区卫生站,22162040,北京市顺义区仁和镇卫生院河南村社区卫生服务站,未评级,北京市顺义区仁和镇河南村村委会北侧, ,顺义区
<br>,社区卫生站,22162038,顺义区天竺镇卫生院三山家园社区卫生服务站,未评级,北京市顺义区天竺镇三山家园13号楼1门102室, ,顺义区
<br>,社区卫生站,22162057,北京市顺义区天竺镇卫生院薛大人庄社区卫生服务站,未评级,北京市顺义区天竺镇薛大人庄村, ,顺义区
<br>,社区卫生站,22162054,北京市顺义区北小营镇卫生院马辛庄社区卫生服务站,未评级,顺义区北小营镇马辛庄村, ,顺义区
<br>,社区卫生站,22162053,北京市顺义区北小营镇卫生院大胡营社区卫生服务站,未评级,顺义区北小营镇大胡营村, ,顺义区
<br>,社区卫生站,22162052,北京市顺义区北小营镇卫生院榆林社区卫生服务站,未评级,顺义区北小营镇榆林村, ,顺义区
<br>,社区卫生站,22162050,北京市顺义区空港医院铁匠营社区卫生服务站,未评级,北京市顺义区后沙峪镇铁匠营村, ,顺义区
<br>,社区卫生站,22162037,北京市顺义区第二医院一中社区卫生服务站,未评级,北京市顺义区杨镇一中, ,顺义区
<br>,社区卫生站,22162036,顺义区天竺镇卫生院天竺新村社区卫生服务站,未评级,顺义区天竺镇天竺新村, ,顺义区
<br>,社区卫生站,22162034,北京市顺义区大孙各庄镇卫生院小段社区卫生服务站,未评级,顺义区大孙各庄镇小段村, ,顺义区
<br>,社区卫生站,22162033,北京市顺义区马坡镇卫生院白各庄社区卫生服务站,未评级,北京市顺义区马坡镇白各庄村东路17号, ,顺义区
<br>,社区卫生站,22162031,北京市顺义区北小营镇卫生院北府社区卫生服务站,未评级,北京市顺义区北小营镇北府村, ,顺义区
<br>,社区卫生站,22162058,北京市顺义区天竺镇卫生院楼台社区卫生服务站,未评级,北京市顺义区天竺镇楼台村, ,顺义区
<br>,社区卫生站,22162076,北京市顺义区空港医院董各庄社区卫生服务站,未评级,顺义区后沙峪镇董各庄村, ,顺义区
<br>,社区卫生站,22162073,北京市顺义区杨镇沙岭卫生院西庞社区卫生服务站,未评级,顺义区杨镇西庞村, ,顺义区
<br>,社区卫生站,22162071,北京市顺义区杨镇沙岭卫生院大曹庄社区卫生服务站,未评级,北京市顺义区杨镇大曹庄村, ,顺义区
<br>,社区卫生站,22162070,北京市顺义区李遂镇卫生院牌楼社区卫生服务站,未评级,北京市顺义区李遂镇牌楼村, ,顺义区
<br>,社区卫生站,22162069,北京市顺义区张镇卫生院赵各庄社区卫生服务站,未评级,北京市顺义区张镇赵各庄村商业街3号, ,顺义区
<br>,社区卫生站,22162067,北京市顺义区第二医院杜庄社区卫生服务站,未评级,顺义区杨镇杜庄村, ,顺义区
<br>,社区卫生站,22162066,北京市顺义区第二医院汉石桥社区卫生服务站,未评级,顺义区杨镇汉石桥村, ,顺义区
<br>,社区卫生站,22162065,北京市顺义区第二医院红寺社区卫生服务站,未评级,顺义区杨镇红寺村, ,顺义区
<br>,社区卫生站,22162064,北京市顺义区第二医院下营社区卫生服务站,未评级,顺义区杨镇下营村, ,顺义区
<br>,社区卫生站,22162086,北京市顺义区马坡镇卫生院石家营社区卫生服务站,未评级,北京市顺义区马坡镇石家营村光明大街1号, ,顺义区
<br>,社区卫生站,22162085,北京市顺义区城区社区卫生服务中心西辛北区社区卫生服务站,未评级,北京市顺义区西辛北区甲8号楼101、102室, ,顺义区
<br>,社区卫生站,22162083,北京市顺义区马坡镇卫生院庙卷社区卫生服务站,未评级,北京市顺义区马坡镇庙卷村北大街, ,顺义区
<br>,社区卫生站,22162082,北京市顺义区马坡镇卫生院衙门村社区卫生服务站,未评级,北京市顺义区马坡镇衙门村安乐路75号, ,顺义区
